term_id,term_str,n,num,has_int,stop,stem_porter,stem_snowball
13680,quarter,427,0,0,0,quarter,quarter
9059,inch,427,0,0,0,inch,inch
16736,tablespoonful,427,0,0,0,tablespoon,tablespoon
18055,veal,426,0,0,0,veal,veal
17563,turn,426,0,0,0,turn,turn
15401,side,426,0,0,0,side,side
18301,warm,425,0,0,0,warm,warm
11020,mixed,424,0,0,0,mix,mix
17939,upon,423,0,0,0,upon,upon
15526,size,421,0,0,0,size,size
8055,great,421,0,0,0,great,great
1465,allow,419,0,0,0,allow,allow
5040,day,418,0,0,0,day,day
15591,slice,418,0,0,0,slice,slice
6014,easily,418,0,0,0,easili,easili
4609,course,416,0,0,0,cours,cours
16090,stand,416,0,0,0,stand,stand
12976,point,414,0,0,0,point,point
13914,recipe,413,0,0,0,recip,recip
7529,fried,412,0,0,0,fri,fri
2228,beans,411,0,0,0,bean,bean
13538,pudding,411,0,0,0,pud,pud
862,6,410,1,1,0,6,6
4798,crumbs,410,0,0,0,crumb,crumb
9997,leaves,410,0,0,0,leav,leav
18665,wine,409,0,0,0,wine,wine
13612,purpose,405,0,0,0,purpos,purpos
3089,cakes,405,0,0,0,cake,cake
17246,toast,404,0,0,0,toast,toast
16738,tablespoons,403,0,0,0,tablespoon,tablespoon
17013,therefore,401,0,0,0,therefor,therefor
6737,fact,400,0,0,0,fact,fact
6438,especially,399,0,0,0,especi,especi
2239,beaten,398,0,0,0,beaten,beaten
7582,fry,397,0,0,0,fri,fri
15162,serving,397,0,0,0,serv,serv
18039,variety,392,0,0,0,varieti,varieti
7006,fill,392,0,0,0,fill,fill
759,5,391,1,1,0,5,5
9698,kept,385,0,0,0,kept,kept
8775,housewife,385,0,0,0,housewif,housewif
11855,onions,383,0,0,0,onion,onion
12853,placed,383,0,0,0,place,place
11985,ounces,380,0,0,0,ounc,ounc
9778,known,380,0,0,0,known,known
14128,removed,380,0,0,0,remov,remov
18757,work,380,0,0,0,work,work
1230,addition,380,0,0,0,addit,addit
11622,now,379,0,0,1,now,now
16184,stewpan,377,0,0,0,stewpan,stewpan
3424,certain,377,0,0,0,certain,certain
3164,canned,375,0,0,0,can,can
3109,called,375,0,0,0,call,call
14436,roast,375,0,0,0,roast,roast
8617,his,375,0,0,1,hi,his
11292,mutton,373,0,0,0,mutton,mutton
15624,slowly,369,0,0,0,slowli,slowli
13363,process,369,0,0,0,process,process
2053,bacon,368,0,0,0,bacon,bacon
15445,simmer,368,0,0,0,simmer,simmer
3298,case,368,0,0,0,case,case
4353,contain,367,0,0,0,contain,contain
16737,tablespoonfuls,366,0,0,0,tablespoon,tablespoon
16850,tea,366,0,0,0,tea,tea
8350,hard,366,0,0,0,hard,hard
5797,dough,364,0,0,0,dough,dough
7485,french,363,0,0,0,french,french
10523,manner,362,0,0,0,manner,manner
8451,head,360,0,0,0,head,head
1702,apples,359,0,0,0,appl,appl
8020,grated,357,0,0,0,grate,grate
5805,down,356,0,0,1,down,down
